lottery,draw_number,draw_date,n1,n2,n3,n4,n5,n6,bonus,source,source_url,retrieved_at,content_hash
LOTO6,540,2011-03-17,15,23,29,35,36,41,42,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=521_540&type=loto6,2026-08-21T01:52:58.637689+00:00,7a842b886fba999ba3ed0a556206e963424c7bd4249421fddb17f8b727a779eb
LOTO6,541,2011-03-24,3,4,5,28,34,43,20,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=loto6,2026-08-21T01:52:58.003644+00:00,3425c2b0cd558ab6f70a051755ae6290f3c39cd781ec4bafd620c2c5076e5239
LOTO6,542,2011-03-31,10,14,23,35,38,41,17,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=loto6,2026-08-21T01:52:58.003644+00:00,3425c2b0cd558ab6f70a051755ae6290f3c39cd781ec4bafd620c2c5076e5239
LOTO6,543,2011-04-04,15,17,18,19,22,31,30,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=loto6,2026-08-21T01:52:58.003644+00:00,3425c2b0cd558ab6f70a051755ae6290f3c39cd781ec4bafd620c2c5076e5239
LOTO6,544,2011-04-07,11,14,16,32,41,42,33,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=loto6,2026-08-21T01:52:58.003644+00:00,3425c2b0cd558ab6f70a051755ae6290f3c39cd781ec4bafd620c2c5076e5239
LOTO6,545,2011-04-11,16,21,24,28,32,36,35,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=loto6,2026-08-21T01:52:58.003644+00:00,3425c2b0cd558ab6f70a051755ae6290f3c39cd781ec4bafd620c2c5076e5239
LOTO6,546,2011-04-14,1,14,30,34,40,43,27,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=loto6,2026-08-21T01:52:58.003644+00:00,3425c2b0cd558ab6f70a051755ae6290f3c39cd781ec4bafd620c2c5076e5239
LOTO6,547,2011-04-18,6,10,11,30,32,39,27,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=loto6,2026-08-21T01:52:58.003644+00:00,3425c2b0cd558ab6f70a051755ae6290f3c39cd781ec4bafd620c2c5076e5239
LOTO6,548,2011-04-21,12,13,16,28,29,35,5,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=loto6,2026-08-21T01:52:58.003644+00:00,3425c2b0cd558ab6f70a051755ae6290f3c39cd781ec4bafd620c2c5076e5239
LOTO6,549,2011-04-25,5,14,27,29,32,33,16,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=loto6,2026-08-21T01:52:58.003644+00:00,3425c2b0cd558ab6f70a051755ae6290f3c39cd781ec4bafd620c2c5076e5239
LOTO6,550,2011-04-28,12,15,19,32,36,42,37,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=loto6,2026-08-21T01:52:58.003644+00:00,3425c2b0cd558ab6f70a051755ae6290f3c39cd781ec4bafd620c2c5076e5239
LOTO6,551,2011-05-02,15,16,19,21,26,42,10,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=loto6,2026-08-21T01:52:58.003644+00:00,3425c2b0cd558ab6f70a051755ae6290f3c39cd781ec4bafd620c2c5076e5239
LOTO6,552,2011-05-05,13,22,26,30,40,41,8,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=loto6,2026-08-21T01:52:58.003644+00:00,3425c2b0cd558ab6f70a051755ae6290f3c39cd781ec4bafd620c2c5076e5239
LOTO6,553,2011-05-09,3,9,11,15,27,37,10,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=loto6,2026-08-21T01:52:58.003644+00:00,3425c2b0cd558ab6f70a051755ae6290f3c39cd781ec4bafd620c2c5076e5239
LOTO6,554,2011-05-12,16,27,34,35,36,38,37,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=loto6,2026-08-21T01:52:58.003644+00:00,3425c2b0cd558ab6f70a051755ae6290f3c39cd781ec4bafd620c2c5076e5239
LOTO6,555,2011-05-16,2,3,7,9,36,42,5,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=loto6,2026-08-21T01:52:58.003644+00:00,3425c2b0cd558ab6f70a051755ae6290f3c39cd781ec4bafd620c2c5076e5239
LOTO6,556,2011-05-19,6,9,13,17,29,30,25,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=541_560&type=loto6,2026-08-21T01:52:58.003644+00:00,3425c2b0cd558ab6f70a051755ae6290f3c39cd781ec4bafd620c2c5076e5239
