lottery,draw_number,draw_date,n1,n2,n3,n4,n5,n6,bonus,source,source_url,retrieved_at,content_hash
MINI_LOTO,587,2010-11-09,11,17,19,29,30,,1,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=581_600&type=miniloto,2026-08-21T01:53:47.819202+00:00,5ed8b8b353e9c1abcb2d2ef9674ffd5906c73bce73e2973e1cc15aeac1f2c625
MINI_LOTO,588,2010-11-16,4,11,18,26,31,,13,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=581_600&type=miniloto,2026-08-21T01:53:47.819202+00:00,5ed8b8b353e9c1abcb2d2ef9674ffd5906c73bce73e2973e1cc15aeac1f2c625
MINI_LOTO,589,2010-11-23,3,10,13,22,26,,12,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=581_600&type=miniloto,2026-08-21T01:53:47.819202+00:00,5ed8b8b353e9c1abcb2d2ef9674ffd5906c73bce73e2973e1cc15aeac1f2c625
MINI_LOTO,590,2010-11-30,4,7,11,17,19,,14,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=581_600&type=miniloto,2026-08-21T01:53:47.819202+00:00,5ed8b8b353e9c1abcb2d2ef9674ffd5906c73bce73e2973e1cc15aeac1f2c625
MINI_LOTO,591,2010-12-07,4,8,9,13,19,,12,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=581_600&type=miniloto,2026-08-21T01:53:47.819202+00:00,5ed8b8b353e9c1abcb2d2ef9674ffd5906c73bce73e2973e1cc15aeac1f2c625
MINI_LOTO,592,2010-12-14,5,6,23,25,26,,14,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=581_600&type=miniloto,2026-08-21T01:53:47.819202+00:00,5ed8b8b353e9c1abcb2d2ef9674ffd5906c73bce73e2973e1cc15aeac1f2c625
MINI_LOTO,593,2010-12-21,11,14,22,28,29,,25,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=581_600&type=miniloto,2026-08-21T01:53:47.819202+00:00,5ed8b8b353e9c1abcb2d2ef9674ffd5906c73bce73e2973e1cc15aeac1f2c625
MINI_LOTO,594,2010-12-28,2,5,10,22,30,,12,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=581_600&type=miniloto,2026-08-21T01:53:47.819202+00:00,5ed8b8b353e9c1abcb2d2ef9674ffd5906c73bce73e2973e1cc15aeac1f2c625
MINI_LOTO,595,2011-01-04,7,11,15,20,23,,3,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=581_600&type=miniloto,2026-08-21T01:53:47.819202+00:00,5ed8b8b353e9c1abcb2d2ef9674ffd5906c73bce73e2973e1cc15aeac1f2c625
MINI_LOTO,596,2011-01-11,6,9,10,14,27,,31,mizuho_bank,https://www.mizuhobank.co.jp/takarakuji/check/loto/backnumber/detail.html?fromto=581_600&type=miniloto,2026-08-21T01:53:47.819202+00:00,5ed8b8b353e9c1abcb2d2ef9674ffd5906c73bce73e2973e1cc15aeac1f2c625
